snapshot_date,nmid,latest_week_start,weeks_since_first_tx,current_transaction_days,prev_transaction_days,current_tier,prev_tier,tenure_bucket,expected_weeks_churn,churn_prob_4w,churn_prob_8w,churn_prob_13w,churn_prob_26w,churn_prob_52w,churn_score,confident,risk_segment
2026-04-21,ID1020019704052,2026-04-13,9,2,0,1-2,0,growing,20.66,0.2838,0.4569,0.5501,0.6878,0.8472,0.2838,True,medium
2026-04-21,ID1021087844929,2026-04-13,8,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1022166517014,2026-04-13,7,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1022198075999,2026-04-13,9,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1023299078841,2026-04-13,7,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1023306168379,2026-04-13,8,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1024354271974,2026-04-13,4,0,1,0,1-2,early,11.71,0.595,0.6999,0.7605,0.8376,0.9222,0.595,True,high
2026-04-21,ID1025404045110,2026-04-13,7,7,5,7,5-6,growing,35.12,0.0239,0.0919,0.1936,0.4304,0.7131,0.0239,True,very low
2026-04-21,ID1025440449417,2026-04-13,9,6,7,5-6,7,growing,33.35,0.0368,0.1212,0.2347,0.4585,0.727,0.0368,True,very low
2026-04-21,ID1025447178498,2026-04-13,8,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1025465078752,2026-04-13,11,6,6,5-6,5-6,growing,32.4,0.0403,0.1417,0.2556,0.4781,0.7363,0.0403,True,very low
2026-04-21,ID1026476167683,2026-04-13,11,0,0,0,0,growing,4.34,0.8793,0.9024,0.9172,0.9444,0.9715,0.8793,True,critical
2026-04-21,ID1026476167691,2026-04-13,11,2,0,1-2,0,growing,20.66,0.2838,0.4569,0.5501,0.6878,0.8472,0.2838,True,medium
2026-04-21,ID1026476167709,2026-04-13,11,0,0,0,0,growing,4.34,0.8793,0.9024,0.9172,0.9444,0.9715,0.8793,True,critical
2026-04-21,ID1026476167717,2026-04-13,11,6,6,5-6,5-6,growing,32.4,0.0403,0.1417,0.2556,0.4781,0.7363,0.0403,True,very low
2026-04-21,ID1026476167725,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167733,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167758,2026-04-13,11,7,5,7,5-6,growing,35.12,0.0239,0.0919,0.1936,0.4304,0.7131,0.0239,True,very low
2026-04-21,ID1026476167782,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167790,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167808,2026-04-13,11,5,3,5-6,3-4,growing,31.73,0.0451,0.1559,0.2682,0.491,0.7413,0.0451,True,very low
2026-04-21,ID1026476167816,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167824,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167832,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167857,2026-04-13,11,0,2,0,1-2,growing,12.36,0.5952,0.6854,0.7433,0.8238,0.9113,0.5952,True,high
2026-04-21,ID1026476167865,2026-04-13,11,3,2,3-4,1-2,growing,27.83,0.09,0.2556,0.3681,0.5652,0.7795,0.09,True,low
2026-04-21,ID1026476167873,2026-04-13,11,6,2,5-6,1-2,growing,31.03,0.0559,0.173,0.2867,0.5031,0.7483,0.0559,True,low
2026-04-21,ID1026476167899,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
2026-04-21,ID1026476167907,2026-04-13,11,3,7,3-4,7,growing,28.86,0.1099,0.233,0.3408,0.5424,0.7685,0.1099,True,low
2026-04-21,ID1026476167915,2026-04-13,11,7,7,7,7,growing,35.83,0.0138,0.0764,0.1748,0.4157,0.7061,0.0138,True,very low
